_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,explain_your_choice_optional,vote_for_your_preferred_candidate,what_sound_does_a_kitty_cat_make,which_statement_would_candidate_a_agree_with_more,defense_a,defense_b,govt_jobs_a,govt_jobs_b,gun_control_a,gun_control_b,healthcare_a,healthcare_b,ideology_a,ideology_b,party_affiliation_a,party_affiliation_b,uuid_a,uuid_b
626127956,12/15/2014 00:19:46,1502558235,12/15/2014 00:18:53,false,clixsense,1.0,10264364,PHL,"","",180.191.88.64,,Candidate B,meow,Candidate A would be indifferent between the two statements above.,3,2,4,3,4,1,4,2,Slightly liberal,Liberal,Other,Democrat,0,1
626127957,12/15/2014 00:19:22,1502558117,12/15/2014 00:18:55,false,neodev,1.0,30793355,IND,"","",202.88.252.50,,Candidate A,meow,,3,4,4,5,4,4,4,6,Slightly liberal,Slightly conservative,Other,Republican,0,2
626127958,12/15/2014 00:40:00,1502564787,12/15/2014 00:39:00,false,neodev,1.0,30166852,ITA,16,Florence,151.40.169.62,,Candidate A,meow,,3,4,4,4,4,4,4,3,Slightly liberal,Slightly liberal,Other,Other,0,3
626127959,12/15/2014 00:20:12,1502558356,12/15/2014 00:18:57,false,clixsense,1.0,30392070,GRC,13,Thessaloníki,79.103.4.140,,Candidate A,meow,,3,4,4,6,4,4,4,6,Slightly liberal,Slightly conservative,Other,Republican,0,4
626127960,12/15/2014 00:20:25,1502558463,12/15/2014 00:18:57,false,neodev,1.0,16323114,MEX,22,Querétaro,189.234.235.51,The cheapest way to provide healtcare for everyone,Candidate A,meow,,3,2,4,2,4,1,4,2,Slightly liberal,Liberal,Other,Democrat,0,5
626127961,12/15/2014 00:20:13,1502558358,12/15/2014 00:18:54,false,neodev,1.0,11342302,BRA,18,Curitiba,177.132.17.11,,Candidate A,meow,Candidate A would be indifferent between the two statements above.,2,3,3,4,1,4,2,4,Liberal,Slightly liberal,Democrat,Other,1,0
626127962,12/15/2014 00:21:03,1502558655,12/15/2014 00:18:49,false,elite,1.0,30405284,ESP,34,Oviedo,79.158.221.169,Prefer to reduce healthcare costs and guns.,Candidate A,meow,,2,4,3,5,1,4,2,6,Liberal,Slightly conservative,Democrat,Republican,1,2
626127963,12/15/2014 00:23:14,1502559277,12/15/2014 00:18:51,false,clixsense,1.0,30695218,TUR,34,Istanbul,217.131.76.102,,Candidate A,meow,,2,4,3,4,1,4,2,3,Liberal,Slightly liberal,Democrat,Other,1,3
626127964,12/15/2014 00:21:02,1502558647,12/15/2014 00:18:52,false,instagc,1.0,30527377,IRL,"","",80.111.11.207,,Candidate A,meow,,2,4,3,6,1,4,2,6,Liberal,Slightly conservative,Democrat,Republican,1,4
626127965,12/15/2014 00:19:32,1502558198,12/15/2014 00:18:55,false,instagc,1.0,15777392,USA,CO,Fort Collins,209.169.202.16,,Candidate B,meow,,2,2,3,2,1,1,2,2,Liberal,Liberal,Democrat,Democrat,1,5
